Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,url,Candidato,Espacio
2023-05-22 18:28:58+00:00,55,10,0,"Entre 2020 y 2021, la política absurda de no imprimir billetes de mayor denominación le costó al Estado argentino USD 180 millones. 

Fue tan alta la emisión de billetes de los últimos meses que hace algunas semanas la Casa de la Moneda tuvo que pedir importar billetes de París y de Malta para dar abasto para la demanda de pesos del Banco Central.",https://twitter.com/mariuvidal/status/1660759680962928642,Vidal,JxC
2023-05-22 18:28:56+00:00,306,80,17,"UN BILLETE QUE NACE VIEJO

Hoy entró en circulación el nuevo billete de $2.000. Con una inflación de más del 100%, ya hace tiempo que la baja denominación de los billetes viene siendo un dolor de cabeza para los comerciantes, los empresarios y la gente en general. Además, es un gasto enorme de impresión de papel para el Estado. 

Pero, ¿por qué la noticia de hoy nace vieja?",https://twitter.com/mariuvidal/status/1660759673341968385,Vidal,JxC
2023-05-27 10:50:58+00:00,809,355,10,"#ResumenSemanal | Conocé el trabajo que llevamos adelante en la Provincia durante esta semana.

#ResumenBonaerense https://t.co/hfutspZvcW",https://twitter.com/Kicillofok/status/1662456362343727104,Kicillof,FdT
2023-05-26 13:39:20+00:00,2187,708,35,"Queremos que todos puedan estudiar en la localidad en la que nacieron, cerca de sus familias y con posibilidades de desarrollo profesional. 

👉Ingresando a https://t.co/RFgJUEP5Wj pueden conocer las ofertas universitarias que se abren en su municipio.

#DerechoALaEducación",https://twitter.com/Kicillofok/status/1662136347912552457,Kicillof,FdT
2023-05-25 18:25:29+00:00,5056,1172,49,"""Yo soy del pueblo y de ahí no me muevo"", @CFKArgentina.

Un día histórico en la Plaza de Mayo junto a compañeros y compañeras, recordando a Néstor para pensar qué Argentina queremos 🇦🇷💙 https://t.co/UCWw3SUmQq",https://twitter.com/Kicillofok/status/1661845971255320577,Kicillof,FdT
2023-05-25 13:25:38+00:00,1421,346,8,"🇦🇷 En un nuevo aniversario del #25DeMayo participamos del Te Deum en la Catedral de La Plata, junto a representantes de múltiples credos.

A 40 años de la vuelta de la Democracia las palabras del Arzobispo Víctor Fernández son fundamentales: celebremos felices su recuperación y vayamos por más años de democracia que hagan nacer un país nuevo, donde cada argentino y argentina tenga las mismas oportunidades.

¡Viva la Patria!",https://twitter.com/Kicillofok/status/1661770512165371905,Kicillof,FdT
2023-05-25 10:06:38+00:00,5723,1547,110,"Néstor nos enseñó que para que todos y todas tengan derecho a un futuro mejor debemos saber de dónde venimos, hacia dónde queremos ir y a dónde no queremos volver.

¡Gracias por mostrarnos que un país más justo es posible!

Más que nunca, #ImitemosElEjemplo 🐧💙 https://t.co/fem9HMBdmX",https://twitter.com/Kicillofok/status/1661720430481211395,Kicillof,FdT
2023-05-25 09:10:00+00:00,1451,396,13,"En este nuevo aniversario de la Revolución de Mayo renovamos nuestro compromiso de seguir construyendo una provincia más justa, igualitaria y soberana.

¡Feliz #DíaDeLaPatria! 🇦🇷 https://t.co/3E1vOZcI7Q",https://twitter.com/Kicillofok/status/1661706176940376065,Kicillof,FdT
2023-05-23 19:10:26+00:00,255,104,0,"El automovilismo en la provincia es realmente una actividad que tiene una vitalidad y una llegada que lo convierte en uno de los deportes más importantes también en el terreno familiar y turístico.

Esta obra nos llena de orgullo porque está en el corazón de las y los argentinos. https://t.co/xlbJpLZGuh",https://twitter.com/Kicillofok/status/1661132506488352771,Kicillof,FdT
2023-05-23 19:10:25+00:00,266,100,1,"Las mejoras permitirán retomar las carreras nacionales, impulsar la actividad turística y el desarrollo del distrito y la región.

Queremos que este espacio emblemático de las y los bonaerenses recobre su actividad y que puedan disfrutarlo todo el año. https://t.co/QKzduTQyWu",https://twitter.com/Kicillofok/status/1661132503015383044,Kicillof,FdT
