Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,Candidato,Espacio,Usr,url
2023-05-29 13:16:28+00:00,5420,1637,137,"Milei está siendo censurado. Twitter impuso un shadowban sobre la cuenta de @JMilei impidiendo q se lo encuentre en las búsquedas o q lo q escribe sea visto. Siendo candidato a Presidente esto no es casual. La gente que nos silencia nos define, estamos por el camino correcto. https://t.co/afrO1rRJRZ",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663217756630597635
2023-05-29 10:45:24+00:00,4846,833,19,¡Feliz Día del Ejército Argentino! Nació con la Patria. @JMilei https://t.co/yP4A3fIlkN,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663179738163052544
2023-05-28 23:19:20+00:00,1185,199,5,Gran elección de @vox_es en las municipales y autonomicas. Felicitaciones @Ortega_Smith @Santi_ABASCAL @monasterioR 🇦🇷🇪🇸 https://t.co/GwTTugVL1P,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1663007082365198337
2023-05-28 21:41:11+00:00,4,0,0,@profe_pabloluna @horaciorlarreta Pretender internacionalizar la Defensa es un delirio.,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662982383245705221
2023-05-28 21:30:17+00:00,900,182,7,"Es de inconscientes y de profunda ignorancia creer que no hay hipótesis de conflicto. Nadie que pretenda ser Presidente puede desconocer la relevancia de la Defensa, porque sin Defensa no hay soberanía. https://t.co/EqaiJIX6Gg",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979639914946563
2023-05-28 21:30:15+00:00,917,175,10,"Respecto de las hipótesis de conflicto no son algo inminente y definido sino más bien difuso y a largo plazo. Argentina tiene un reclamo territorial en Malvinas, siendo una nación occidental tenemos una base china en Neuquén, problemas de incipiente separatismo en la Patagonia, recursos riquísimos en hidrocarburos, una muy extensa plataforma continental, línea recta a la Antártida, etc…",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979633380302853
2023-05-28 21:30:14+00:00,736,120,0,"Tenemos el presupuesto más bajo de la región y de nuestra historia con 0.7% del PBI, con políticos que subestiman la Defensa Nacional utilizando sus recursos como moneda de cambio en los gobiernos. No hay un Sistema integrado de Defensa Nacional y las FFAA sufren recortes presupuestarios constantes y falta de adiestramiento e insumos.",Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979625646006274
2023-05-28 21:30:11+00:00,2298,554,23,Viendo a Larreta opinar sobre Defensa uno nota q no conoce del tema. La Defensa permite garantizar los intereses vitales de un país. Está definida en el art 2 de la ley 23554. Es una función indelegable del Estado xq la presencia de las FFAA se basa en la existencia misma de ese Estado y no en un conflicto concreto. @JMilei,Villarruel,LLA,VickyVillarruel,https://twitter.com/VickyVillarruel/status/1662979615881560076
2023-06-04 21:31:44+00:00,978,202,20,"Hoy los cordoboses confiaron en el equipo de Juntos por el Cambio.

👉 GANAMOS POR PRIMERA VEZ EN Villa Quillinzo, Santa Rosa de Calamuchita, Puesto de Castro, Valle Hermoso, Bialet Massé, Anisacate, y La Calera.

👉 NOS VOLVIERON A ELEGIR EN Villa Giardino, Sebastián Elcano, Berrotarán, Talares, Las Albahacas, Jovita, Isla Verde, Colonia Prosperidad, Pilar, Villa del Rosario, Los Cóndores, Salsacate, Monte de los Gauchos, Baigorria, Chazón, Etruria, Laborde, La Laguna, General Levalle, Cruz de Caña, Serrezuela, El Brete, Las Cañadas, Calchín, Tala Huasi, y Siquiman.

La esperanza se expande a lo largo y ancho de nuestro país. Falta cada día menos para lograr el cambio que nos merecemos, en equipo y juntos 🤍",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1665516720205774848
2023-06-01 22:12:46+00:00,173,47,1,". @rodrigodeloredo, @SoherElSukaria y junto a ellos, miles de cordobeses que quieren recuperar su ciudad, la provincia y el país.

Confío en este equipo para hacer de Córdoba #LaNúmero1. Vamos 🇦🇷🚀!",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664439884470267904
2023-06-01 19:34:40+00:00,218,57,5,"El cambio comienza cuando la mayoría dice BASTA, y sé que millones de tucumanos están dispuestos a elegir futuro.

Junto a @RSanchezOK y @alfarogerman , el 11 de junio, Tucuman puede hacer historia. Sí, se puede. https://t.co/UKmd6EKwhW",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664400094781743105
2023-06-01 14:56:59+00:00,4218,1416,195,"“No tenemos pediatras en el hospital, los chicos no aprenden nada en el colegio""

Deberías escucharla, @Kicillofok https://t.co/6cYmCuGlCS",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664330213663145984
2023-05-31 18:16:18+00:00,1027,215,376,"¿Qué país le dejamos a los jóvenes? Comprar una casa es imposible, alquilar es muy difícil, y llegar a fin de mes es cada vez más complicado.

Recuperar Argentina es devolverles el futuro, con educación de calidad y oportunidades del Siglo XXI, para que emigrar sea una opción, y no una condena.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1664017984321404928
2023-05-30 18:04:13+00:00,409,94,16,"Este año tenemos que ser mayoría los que elegimos caminar sin miedo, trabajar en paz, y dormir tranquilos cuando nuestros hijos no están en casa. 

Falta poco para restablecer prioridades: los que se esfuerzan merecen vivir libres, y los delincuentes encerrados.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663652557036703748
2023-05-30 11:18:15+00:00,301,49,5,"Un Intendente ejemplar, un vecino comprometido y una gran persona: @martinyeza es un orgullo para el PRO. 

Confío en que junto a @JuanIbarguren van a seguir transformando Pinamar. Gran mensaje de alternancia, equipo y unidad.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663550393014718475
2023-05-30 10:56:43+00:00,132,16,1,"Estoy orgullosa del trabajo, la dedicación y el esfuerzo de @FernanQuirosBA, y creo que su futuro en @proargentina recién empieza.

Vamos a seguir trabajando por los vecinos de la Ciudad de Buenos Aires, en unidad.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663544973063761922
2023-05-30 10:56:42+00:00,787,121,58,"Hace 18 años, con Mauricio y Horacio empezamos a recuperar Buenos Aires, y los resultados están a la vista. 

Hoy tenemos candidato, tenemos equipo, y tenemos la convicción de continuar transformando nuestra Ciudad de la mano de @jorgemacri. Es juntos.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663544970937266179
2023-05-29 22:08:09+00:00,19,0,0,"@econofia Felicitaciones, Sofi! Qué sea la primera de muchas ♥️",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663351557440634882
2023-05-29 22:07:32+00:00,3,0,0,@chicacualunque De generación en generación 🥰,Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1663351402503045125
2023-05-28 21:38:22+00:00,611,91,67,"Enorme triunfo de @IdiazAyuso y el Partido Popular contra el populismo español. En equipo, con esfuerzo y trabajo: se puede.",Vidal,JxC,mariuvidal,https://twitter.com/mariuvidal/status/1662981672470560768
2023-06-03 12:00:01+00:00,620,312,11,"#ResumenSemanal | Conocé el trabajo que llevamos adelante en la Provincia durante esta semana.

#ResumenBonaerense https://t.co/V6lSrXlTUT",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1665010455553925121
2023-06-02 19:21:03+00:00,189,101,1,"Y para seguir garantizando derechos en cada municipio, entregamos una ambulancia de alta complejidad que fortalecerá la atención sanitaria y nuevos instrumentos para la Orquesta Escuela Municipal a través de @fundacionbapro.

¡Más inversión para más #DERECHOalFUTURO! https://t.co/UUm94F8J6N",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664759056387436544
2023-06-02 19:21:02+00:00,356,154,1,"Sabemos que muchos bonaerenses tienen que abandonar su entorno, su familia y sus amistades para estudiar una carrera en otras ciudades bonaerenses. Con este programa estamos revirtiendo esa desigualdad y garantizando que puedan formarse y desarrollarse en el lugar que viven. https://t.co/KdpOwjnLfa",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664759052612640768
2023-06-02 19:21:01+00:00,787,311,5,"¡Gonzales Chaves tendrá su centro universitario!✍️

Firmamos un nuevo convenio de adhesión al programa Puentes para la construcción de este espacio que permitirá que las y los vecinos puedan estudiar la carrera que deseen. 

¡Un paso más para fortalecer el #DerechoAlArraigo! https://t.co/Q9tvLyAhIZ",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664759049475293184
2023-06-02 18:47:38+00:00,690,274,12,"¡El Natatorio Municipal de #GonzalesChaves es una realidad!

Junto al intendente Marcelo Santillán inauguramos las tres piletas climatizadas del Polideportivo local para que los vecinos y vecinas tengan un espacio deportivo y recreativo con todas las comodidades.

Las familias bonaerenses tienen #DerechoADisfrutar de esta hermosa obra que concretamos con tanto cariño y esfuerzo junto al municipio💙",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664750648447909888
2023-06-02 16:00:05+00:00,143,50,1,"Seguimos trabajando junto a la @escribaniaPBA para que la seguridad jurídica sea un derecho de los y las bonaerenses.

#DERECHOalFUTURO https://t.co/WlSVOg2IXb",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664708482686242819
2023-06-02 16:00:05+00:00,149,52,0,"Además, junto a @Julio_Alak le entregamos a @ptorreslaprida 8 escrituras fundamentales para el distrito, entre las que se destacan las del barrio “Autoconstrucción 9 viviendas”, el Sector Industrial Planificado municipal y el Club Social y Deportivo Juventud. https://t.co/9HMsW1MVDi",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664708480308219904
2023-06-02 16:00:04+00:00,619,249,10,"Entregamos 126 escrituras a vecinos y vecinas de barrios de #Laprida que finalmente pudieron resolver este trámite tan importante y disfrutar de su casa con tranquilidad.

¡Un Estado presente que tiende una mano para construir el futuro! https://t.co/Q7Z9zP7afr",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664708478106062857
2023-06-02 14:41:28+00:00,443,175,3,"No todos los gobiernos son iguales: están los que cerraron escuelas y desfinanciaron obras y estamos los que invertimos y las reactivamos.

Falta muchísimo, pero el camino no es ni para atrás ni para la derecha, es para adelante y derecho al futuro. https://t.co/P7f6SawDA7",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664688698858897420
2023-06-02 14:41:28+00:00,402,147,2,Para que los pibes y pibas de toda la provincia tengan las mismas oportunidades necesitamos seguir ampliando el sistema educativo y brindarles herramientas para que puedan construir su futuro. https://t.co/BaRkejJY92,Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664688696237457430
2023-06-02 14:41:27+00:00,1402,522,22,"¡La Secundaria Técnica de Laprida tiene un nuevo sector de talleres!

Una obra abandonada por años que decidimos terminar para que los chicos tengan un espacio en condiciones. Además, junto a @ptorreslaprida firmamos el acta para iniciar la segunda etapa de reformas. https://t.co/aunjOTuPxf",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664688693490188306
2023-06-01 19:00:00+00:00,1730,596,59,"Estamos transformando la provincia para garantizar que todos y todas tengan las mismas oportunidades, mejores condiciones de vida y la posibilidad de desarrollarse en el lugar que eligen.

¡Trabajamos día a día para seguir avanzando, junto a cada bonaerense, #DERECHOalFUTURO! ✨ https://t.co/0eLCLZpuRG",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664391373389455360
2023-06-01 14:37:41+00:00,280,115,3,"El trabajo en conjunto con las y los intendentes es fundamental para que las vecinas y vecinos de cada rincón de la PBA vivan mejor. 

Junto a Daniel Cappelletti, @Julio_Alak y @CrisAlvarezRod dimos otro paso para cumplir sus derechos.

#DERECHOalFUTURO https://t.co/DVBp87mF2M",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664325358169014278
2023-06-01 14:37:40+00:00,294,126,1,"Además, a través de @escribaniaPBA hicimos entrega de 29 títulos de propiedad al municipio, entre los que están las escrituras de dos salitas de primeros auxilios y un CAPS, muy importantes para la comunidad. https://t.co/0Ogm2lqvse",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664325354599731200
2023-06-01 14:37:40+00:00,1367,509,15,"Entregamos 172 escrituras a vecinos y vecinas de #Brandsen que viven en los barrios Cooperativa I, Las Higueras, Aleluya, República y Los Pinos.

Para todas estas familias hoy se termina una dificultad y comienza la felicidad de disfrutar plenamente de la casa propia. https://t.co/bQFzy3iHdJ",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664325351533625371
2023-05-31 22:22:30+00:00,56,3,1,@CarlitaaT @alexiannavarro @nkreplak ¡Feliz cumple @CarlitaaT ! Abrazo ✌🏻,Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664079945742577664
2023-05-31 17:38:45+00:00,191,80,1,"Volver a este lugar y ver estos cambios nos llena de alegría y nos impulsa a continuar trabajando por el #DerechoALaEducación, para una mejor calidad educativa y la oportunidad de desarrollarse en sus entornos. 
 
¡Sintonicemos la emisora y sigamos construyendo #DERECHOalFUTURO! https://t.co/uawDiKmeGJ",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664008538040008707
2023-05-31 17:38:45+00:00,272,99,1,"Es una institución muy importante para la región ya que es la única con modalidad Comunicación y tiene la radio escolar “FM El Pueblazo”, de gran llegada en el distrito. 

¡Gracias por invitarme a participar de su transmisión y como les dije, sigan luchando por todo lo que falta! https://t.co/nDKm2Mk2AG",Kicillof,FdT,Kicillofok,https://twitter.com/Kicillofok/status/1664008534911066115
